camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,carplate
4712,https://images.data.gov.sg/api/traffic-images/2023/07/2730e80f-ae64-4fd9-838b-00f3728d391e.jpg,1.341244001,103.6439134,FRC4,52,52,121,121,1.0,False,2,0,0,1,0,0
4713,https://images.data.gov.sg/api/traffic-images/2023/07/c6422c9b-121a-46ea-917d-5b66e05dea1f.jpg,1.347645829,103.6366955,FRC4,12,12,203,203,1.0,False,44,0,0,3,0,0
4714,https://images.data.gov.sg/api/traffic-images/2023/07/97390fad-0f7c-4ef5-99e5-5754697add75.jpg,1.31023,103.76438,FRC0,77,77,946,878,0.9996,False,11,2,0,0,0,0
4716,https://images.data.gov.sg/api/traffic-images/2023/07/5acb0525-809c-477a-b54d-e88adabcfa69.jpg,1.32227,103.67453,FRC0,77,77,946,878,0.9996,False,4,4,1,0,0,0
4798,https://images.data.gov.sg/api/traffic-images/2023/07/8d772c37-5cd2-494c-a2c2-75745b4c2be2.jpg,1.25999999687243,103.823611110166,FRC3,75,75,335,335,1.0,False,2,0,1,0,0,0
4799,https://images.data.gov.sg/api/traffic-images/2023/07/eed417d8-a676-4a6b-999b-6e06f32a4a5d.jpg,1.26027777363278,103.823888890049,FRC4,36,36,292,219,1.0,False,11,2,0,0,0,0
5794,https://images.data.gov.sg/api/traffic-images/2023/07/ce68bd36-ee00-49f8-b361-15d9076c9c97.jpg,1.3309693,103.9168616,FRC0,88,88,310,310,1.0,False,18,0,0,0,0,0
5795,https://images.data.gov.sg/api/traffic-images/2023/07/44ed65d4-9f33-4885-a5e3-3a0c5ec3a0dd.jpg,1.326024822,103.905625,FRC0,89,89,27,27,1.0,False,36,0,4,1,0,0
5797,https://images.data.gov.sg/api/traffic-images/2023/07/c984f85f-0c44-4789-a670-e133a2f91f7a.jpg,1.322875288,103.8910793,FRC0,88,88,105,105,1.0,False,21,6,1,3,1,0
5798,https://images.data.gov.sg/api/traffic-images/2023/07/6b0e6e46-d22c-465a-88eb-e3aa5a30eaeb.jpg,1.32036078126842,103.877174116489,FRC0,80,80,82,82,1.0,False,13,3,1,0,0,0
