camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,tomtom_congestion,my_congestion,congestion
5797,https://images.data.gov.sg/api/traffic-images/2023/07/208d4e5b-456b-467a-8b6f-d5932616de30.jpg,1.322875288,103.8910793,FRC0,50,50,185,106,1.0,False,20,0,0,0,0,3,3,3
5798,https://images.data.gov.sg/api/traffic-images/2023/07/5bf8e54b-5517-4d4a-98e5-8496c6dab5d8.jpg,1.32036078126842,103.877174116489,FRC0,80,80,82,82,1.0,False,14,0,0,0,0,1,2,2
5799,https://images.data.gov.sg/api/traffic-images/2023/07/ad42ad45-6a4d-4a2f-af4e-92a16d5d0b10.jpg,1.328171608,103.8685191,FRC3,7,7,81,37,1.0,False,47,1,0,0,0,3,3,3
6701,https://images.data.gov.sg/api/traffic-images/2023/07/06c4d186-358d-4444-8da0-9091b61396c9.jpg,1.329334,103.858222,FRC4,73,73,9,9,1.0,False,19,0,0,0,0,1,3,2
6703,https://images.data.gov.sg/api/traffic-images/2023/07/26406dae-51f4-45ee-93d0-a46d4e716253.jpg,1.328899,103.84121,FRC2,71,71,66,66,1.0,False,17,1,0,0,0,1,3,2
6704,https://images.data.gov.sg/api/traffic-images/2023/07/e68cf699-1b63-484e-9ff9-a601bca91b34.jpg,1.32657403632366,103.826857295633,FRC5,34,34,330,229,1.0,False,19,0,0,0,0,3,3,3
6705,https://images.data.gov.sg/api/traffic-images/2023/07/3f9530e6-27c9-4ccf-9d5a-c56ab903270e.jpg,1.332124,103.81768,FRC1,58,58,16,16,1.0,False,18,0,0,0,0,1,3,2
6706,https://images.data.gov.sg/api/traffic-images/2023/07/6d8525c8-d089-431b-bb92-afbf34237c40.jpg,1.349428893,103.7952799,FRC0,85,85,117,117,1.0,False,39,0,0,1,0,1,3,2
6708,https://images.data.gov.sg/api/traffic-images/2023/07/b1fe07f9-5615-4e35-8bf8-c263f2dfb294.jpg,1.345996,103.69016,FRC0,65,65,383,297,1.0,False,17,0,0,0,0,2,3,3
6710,https://images.data.gov.sg/api/traffic-images/2023/07/078b898e-9309-4113-a875-d3baed87a5de.jpg,1.344205,103.78577,FRC0,66,66,563,422,1.0,False,21,0,0,0,0,3,3,3
6711,https://images.data.gov.sg/api/traffic-images/2023/07/7d250aa3-7ca8-45f4-b695-c3f6e4f7238b.jpg,1.33771,103.977827,FRC0,51,51,27,20,1.0,False,7,0,0,0,0,3,1,2
6712,https://images.data.gov.sg/api/traffic-images/2023/07/87d1e196-2499-4fd5-a583-d486473efa74.jpg,1.332691,103.770278,FRC0,90,90,424,424,1.0,False,17,1,0,0,0,1,3,2
6713,https://images.data.gov.sg/api/traffic-images/2023/07/e34ae76a-b600-4c85-847b-8b5dcaf23924.jpg,1.340298,103.945652,FRC2,60,60,62,62,1.0,False,6,0,0,0,0,1,1,1
